loan_id,customer_id,loan_amount,repayment_history,loan_status,repayment_rank
2490,614,497811,10,Closed,1
2697,70,496637,10,Approved,2
1473,540,494274,10,Approved,3
153,683,493919,10,Closed,4
1027,916,482021,10,Closed,5
371,972,480186,10,Approved,6
1274,665,476971,10,Closed,7
2559,202,470726,10,Approved,8
1630,241,468229,10,Approved,9
594,705,467569,10,Closed,10
173,876,467223,10,Closed,11
1451,489,465961,10,Approved,12
2148,782,465878,10,Closed,13
2773,633,464658,10,Approved,14
2845,597,463552,10,Closed,15
380,40,459247,10,Approved,16
1602,306,458769,10,Approved,17
853,984,452082,10,Closed,18
915,586,449536,10,Closed,19
2232,821,448314,10,Closed,20
852,8,447708,10,Closed,21
1237,73,444798,10,Closed,22
2927,111,441154,10,Closed,23
2674,313,440489,10,Closed,24
2342,105,439779,10,Approved,25
2662,877,439369,10,Closed,26
885,93,436167,10,Approved,27
1126,859,435879,10,Closed,28
2524,690,435091,10,Approved,29
2685,129,432840,10,Closed,30
1033,100,429801,10,Closed,31
751,838,428766,10,Closed,32
1247,440,422806,10,Closed,33
327,336,420944,10,Closed,34
574,914,417407,10,Closed,35
1363,755,415459,10,Closed,36
1712,177,412168,10,Approved,37
1493,286,406214,10,Closed,38
1892,659,404147,10,Approved,39
2484,682,401761,10,Closed,40
1406,268,395554,10,Approved,41
491,657,395363,10,Closed,42
473,724,391704,10,Approved,43
1252,560,389664,10,Closed,44
1533,743,379492,10,Approved,45
1966,898,377752,10,Closed,46
1217,58,377692,10,Approved,47
1087,648,373055,10,Approved,48
758,570,370438,10,Closed,49
1076,519,370080,10,Closed,50
2467,936,367024,10,Approved,51
563,392,365988,10,Approved,52
2999,669,358124,10,Approved,53
157,426,357408,10,Approved,54
3,934,356749,10,Approved,55
2871,741,339136,10,Approved,56
1951,398,338547,10,Closed,57
236,43,332705,10,Closed,58
41,783,327125,10,Closed,59
1204,24,326241,10,Approved,60
1571,793,323428,10,Approved,61
97,27,319264,10,Closed,62
2412,918,317566,10,Closed,63
424,818,311360,10,Approved,64
1326,940,306017,10,Approved,65
2057,177,302818,10,Closed,66
2566,676,299046,10,Approved,67
2545,43,292439,10,Approved,68
146,745,287929,10,Closed,69
2470,90,285014,10,Approved,70
907,221,284233,10,Approved,71
218,53,280068,10,Approved,72
1374,795,280027,10,Closed,73
1236,62,277793,10,Closed,74
344,461,263134,10,Approved,75
2569,965,246401,10,Closed,76
