loan_id,customer_id,loan_amount,early_repayments_count,total_early_repayments,early_repayment_percentage
2640,560,431161,4,140012,32.4733
1862,896,298663,3,124144,41.5666
1205,880,209412,3,112697,53.8159
963,189,155142,3,96650,62.2978
1614,284,193997,3,86256,44.4625
2088,329,124415,3,82773,66.5298
2004,371,211155,3,79221,37.5179
259,981,378148,3,74055,19.5836
2123,885,89079,3,71755,80.5521
984,18,418403,3,68628,16.4024
473,724,391704,3,67497,17.2316
2982,442,67189,3,67013,99.7381
47,574,13462,3,63654,472.8421
2309,967,261420,3,60754,23.2400
1881,546,50867,3,59413,116.8007
2406,611,402454,3,50610,12.5754
930,383,394215,2,91542,23.2213
2740,389,187085,2,91457,48.8853
2020,894,230733,2,91404,39.6146
2592,236,337836,2,88007,26.0502
2164,267,256195,2,86990,33.9546
1399,787,31181,2,86096,276.1169
2097,89,491245,2,84202,17.1405
1423,321,388356,2,83122,21.4036
2841,744,39850,2,77062,193.3802
2910,138,146623,2,76625,52.2599
1353,26,264430,2,75421,28.5221
2767,868,475047,2,73835,15.5427
1492,619,226623,2,73833,32.5797
2072,121,154951,2,73391,47.3640
1367,411,465392,2,72284,15.5319
1042,72,253796,2,71375,28.1230
442,511,117431,2,70900,60.3759
521,181,126764,2,70874,55.9102
2681,553,210131,2,69706,33.1726
718,16,374649,2,68965,18.4079
1699,923,466790,2,66535,14.2537
1685,735,140055,2,66366,47.3857
802,864,223643,2,65683,29.3696
16,958,242399,2,65466,27.0075
612,213,455271,2,65212,14.3238
2509,910,246434,2,64580,26.2058
1272,766,328614,2,64311,19.5704
2816,536,151151,2,64091,42.4020
2081,130,478392,2,63529,13.2797
1358,443,332846,2,63367,19.0379
1533,743,379492,2,63348,16.6928
2988,556,37417,2,63260,169.0675
1447,609,272069,2,62522,22.9802
2497,23,96126,2,61913,64.4082
1301,896,122720,2,61156,49.8338
1206,155,478081,2,60181,12.5880
2040,73,444133,2,59486,13.3937
2596,598,28165,2,59284,210.4882
912,242,58805,2,59251,100.7584
1843,668,169680,2,58955,34.7448
747,276,119017,2,58464,49.1224
1858,861,482172,2,58427,12.1175
218,53,280068,2,57796,20.6364
1012,6,87028,2,57615,66.2028
1401,469,389255,2,57533,14.7803
1505,972,313699,2,54967,17.5222
2908,30,250312,2,54741,21.8691
203,205,150455,2,54147,35.9888
2934,556,384021,2,54137,14.0974
2215,692,369461,2,54065,14.6335
571,935,201557,2,53818,26.7011
2757,414,108297,2,53786,49.6653
1336,897,176572,2,53126,30.0874
1321,363,68929,2,52900,76.7456
1595,617,408110,2,52439,12.8492
548,654,145138,2,52022,35.8431
1550,694,307491,2,51489,16.7449
2848,830,363493,2,50676,13.9414
1277,317,291127,2,50428,17.3217
1041,73,137230,2,50355,36.6939
1802,694,39275,2,49559,126.1846
1526,704,432525,2,49083,11.3480
2804,726,93701,2,49024,52.3196
2501,483,151085,2,48953,32.4010
39,913,128715,2,48823,37.9311
204,51,356228,2,48616,13.6474
416,637,129310,2,48549,37.5447
2058,485,117245,2,48548,41.4073
404,555,324378,2,47896,14.7655
1942,709,176780,2,47545,26.8950
350,644,438787,2,47400,10.8025
1501,2,107613,2,47050,43.7215
13,29,174410,2,46915,26.8993
1214,235,301693,2,46874,15.5370
2652,50,18313,2,46054,251.4826
593,590,416395,2,45713,10.9783
2688,912,240037,2,45565,18.9825
2955,488,256962,2,45112,17.5559
2710,596,350069,2,44308,12.6569
368,518,374510,2,43727,11.6758
1230,670,217025,2,43284,19.9442
2775,946,132844,2,42176,31.7485
1438,666,190351,2,41366,21.7314
1108,100,226072,2,41243,18.2433
2439,614,215985,2,40952,18.9606
92,860,356258,2,40945,11.4931
2726,568,181825,2,40809,22.4441
801,356,184438,2,40564,21.9933
2772,175,310399,2,40227,12.9598
2250,243,276797,2,38916,14.0594
2312,176,215113,2,38395,17.8488
266,620,75071,2,38277,50.9877
872,604,8284,2,37872,457.1704
1151,907,297295,2,36826,12.3870
967,218,295384,2,36538,12.3697
1835,884,113883,2,35897,31.5209
1063,799,353183,2,35873,10.1571
164,751,139615,2,35194,25.2079
2425,641,173701,2,35008,20.1542
2096,865,283253,2,33639,11.8760
1006,340,227817,2,32363,14.2057
481,677,118214,2,31535,26.6762
2898,550,236757,2,29527,12.4714
1355,103,166628,2,29447,17.6723
1118,354,104291,2,29436,28.2249
1717,937,176069,2,29205,16.5872
90,458,199008,2,28939,14.5416
1786,235,20100,2,24838,123.5721
613,842,59646,2,23330,39.1141
1999,562,115983,2,22615,19.4985
2644,56,116512,2,21992,18.8753
2277,879,112548,2,21716,19.2949
1962,602,192104,2,20146,10.4870
2026,467,77497,2,17453,22.5209
2399,65,126076,2,15911,12.6202
331,404,364483,1,49975,13.7112
987,111,70552,1,49970,70.8272
222,69,212399,1,49897,23.4921
856,923,210209,1,49889,23.7330
2840,43,127459,1,49678,38.9757
793,358,160957,1,49655,30.8499
10,535,199991,1,49609,24.8056
2092,288,179849,1,49595,27.5759
1024,10,245973,1,49556,20.1469
1341,196,8554,1,49242,575.6605
806,742,434368,1,48797,11.2340
1377,287,339393,1,48768,14.3692
1889,474,181662,1,48714,26.8157
219,443,446019,1,48708,10.9206
2205,380,192916,1,48699,25.2436
1440,336,277356,1,48693,17.5561
1808,16,463017,1,48608,10.4981
1246,643,202997,1,48603,23.9427
1666,201,107769,1,48572,45.0705
282,351,39829,1,48500,121.7706
878,511,154751,1,48481,31.3284
901,860,309029,1,48435,15.6733
1959,947,368179,1,48274,13.1116
2173,412,449087,1,48230,10.7396
915,586,449536,1,48204,10.7231
199,471,127706,1,48193,37.7375
1602,306,458769,1,48123,10.4896
581,701,267330,1,47942,17.9336
2863,639,359255,1,47921,13.3390
25,830,289037,1,47890,16.5688
41,783,327125,1,47856,14.6293
2648,584,118280,1,47834,40.4413
843,336,324931,1,47597,14.6483
2672,433,142530,1,47528,33.3460
2070,908,306164,1,47526,15.5231
2014,611,236493,1,47485,20.0788
324,939,12928,1,47483,367.2881
235,201,125478,1,47361,37.7445
1351,412,226313,1,47331,20.9140
298,39,9597,1,47329,493.1645
423,44,94183,1,47262,50.1810
95,611,226879,1,47244,20.8234
695,428,396214,1,47138,11.8971
1566,510,277872,1,47126,16.9596
49,748,54637,1,47074,86.1577
1191,6,241335,1,47057,19.4986
44,781,112595,1,47054,41.7905
713,684,338201,1,46949,13.8820
2785,668,74029,1,46947,63.4170
1982,209,55046,1,46922,85.2414
968,319,268820,1,46732,17.3841
1852,748,387204,1,46717,12.0652
2721,588,316010,1,46659,14.7650
1161,253,201758,1,46640,23.1168
2195,911,108239,1,46638,43.0880
2761,219,144509,1,46584,32.2361
1904,790,258577,1,46547,18.0012
340,535,461241,1,46541,10.0904
563,392,365988,1,46493,12.7034
1079,143,222403,1,46388,20.8576
1032,849,322116,1,46386,14.4004
1319,890,234350,1,46333,19.7709
2511,934,69693,1,46287,66.4156
2265,419,125450,1,46272,36.8848
1965,756,205476,1,46172,22.4708
928,551,120274,1,45961,38.2136
