transaction_id,customer_id,loan_id,transaction_date,transaction_amount,loan_amount,transaction_percentage
487,247,2998,"12/17/2021 8:00",45399,6375,712.1412
4279,989,328,"10/26/2021 11:16",44032,6280,701.1465
2757,427,1022,"6/9/2020 18:59",49909,7232,690.1134
1022,275,379,"5/2/2020 4:40",40986,6085,673.5579
2949,259,597,"9/4/2020 5:46",43017,6677,644.2564
4299,126,597,"3/2/2022 19:01",42407,6677,635.1206
3350,152,2970,"11/22/2022 8:15",42041,6627,634.3896
4655,65,1645,"6/24/2024 8:12",38078,6588,577.9903
1313,680,1341,"8/16/2023 22:22",49242,8554,575.6605
493,98,1105,"5/30/2022 7:38",48160,8431,571.2252
4948,739,597,"7/14/2024 8:12",36922,6677,552.9729
3200,905,1254,"11/10/2022 3:21",49977,9169,545.0649
2171,356,1339,"9/4/2024 6:25",37647,7039,534.8345
1708,635,2549,"12/23/2021 12:31",45161,8607,524.7008
3538,140,1995,"11/9/2024 22:50",47173,9088,519.0691
4071,267,1552,"12/24/2020 13:28",33915,6834,496.2687
3372,869,2264,"12/2/2023 0:18",39844,8045,495.2641
3181,582,298,"6/9/2023 6:33",47329,9597,493.1645
4297,841,328,"6/16/2022 4:10",30926,6280,492.4522
1638,634,245,"10/14/2022 12:00",33272,6979,476.7445
3791,24,2288,"3/28/2023 17:34",37780,8318,454.1957
3810,156,1022,"3/18/2021 22:23",32595,7232,450.7052
3633,904,379,"1/15/2020 6:46",27253,6085,447.8718
3842,398,575,"8/26/2020 18:28",36771,8231,446.7379
3808,824,2019,"9/14/2020 22:21",38302,8605,445.1133
3646,613,1645,"10/16/2023 16:48",27757,6588,421.3267
2393,425,2288,"4/8/2020 17:56",34175,8318,410.8560
2022,771,1022,"11/6/2022 7:44",29425,7232,406.8722
3647,490,1557,"4/22/2020 18:29",31511,7846,401.6187
1188,567,1339,"3/27/2020 6:50",28159,7039,400.0426
4665,827,2998,"8/2/2023 22:31",25082,6375,393.4431
4574,508,1341,"4/30/2020 23:31",33508,8554,391.7232
4447,525,809,"6/13/2022 3:17",44803,11539,388.2745
538,178,1426,"10/26/2021 16:51",40921,11000,372.0091
1116,958,324,"5/11/2023 23:48",47483,12928,367.2881
2462,18,2186,"12/28/2022 3:07",30950,8516,363.4335
4661,774,502,"2/15/2020 13:53",47208,13149,359.0235
670,83,2536,"10/21/2020 17:30",41398,12062,343.2101
4977,121,872,"5/28/2021 22:32",26903,8284,324.7586
2459,439,2970,"3/6/2023 23:08",21262,6627,320.8390
1613,398,606,"8/20/2022 5:12",39796,12463,319.3132
1728,959,635,"4/8/2023 13:50",41789,13118,318.5623
1609,822,575,"8/18/2022 10:50",26019,8231,316.1098
343,375,2584,"9/11/2024 7:21",35079,11518,304.5581
2440,376,2769,"12/9/2020 14:46",27463,9123,301.0304
2571,996,1489,"6/14/2021 15:16",38578,12916,298.6838
776,653,2690,"4/10/2024 18:03",39936,13429,297.3863
3066,627,1489,"10/2/2020 7:58",38020,12916,294.3636
1221,21,591,"8/27/2021 16:24",30970,10677,290.0628
1174,503,2086,"6/17/2024 23:12",49728,17200,289.1163
1626,394,1036,"1/26/2020 23:11",36577,12907,283.3889
533,93,911,"2/22/2022 18:51",45456,16226,280.1430
3104,783,2957,"10/14/2024 5:07",22621,8158,277.2861
1823,786,2450,"12/17/2019 15:18",34582,12860,268.9114
161,366,1994,"8/25/2024 23:22",41530,15459,268.6461
3417,2,1552,"1/26/2020 3:36",18216,6834,266.5496
3755,738,47,"2/1/2021 18:01",35790,13462,265.8595
3227,193,2022,"4/8/2022 4:23",24574,9415,261.0090
4967,368,208,"5/23/2022 15:55",34360,13286,258.6181
4652,212,84,"4/7/2024 20:41",36570,14168,258.1169
1920,704,872,"11/26/2022 4:09",20941,8284,252.7885
2849,506,1880,"11/18/2024 2:21",31133,12405,250.9714
4764,600,502,"5/27/2021 12:15",32645,13149,248.2698
3116,823,872,"2/19/2022 22:49",20490,8284,247.3443
4048,927,2582,"7/4/2021 23:30",31753,13054,243.2435
4439,429,1757,"6/17/2023 16:52",42840,17798,240.7012
1916,11,838,"6/5/2023 5:26",39579,16506,239.7855
656,634,2652,"7/19/2021 12:16",43581,18313,237.9785
3000,145,2086,"6/4/2021 16:49",40438,17200,235.1047
1473,314,324,"7/15/2021 19:51",30139,12928,233.1296
2046,505,1339,"1/21/2024 0:33",15792,7039,224.3500
790,551,2132,"11/1/2024 22:12",48692,21762,223.7478
1472,249,1449,"2/29/2024 4:10",44111,19800,222.7828
2104,742,407,"1/31/2022 4:54",37190,16936,219.5914
754,248,478,"3/30/2023 18:56",43427,19964,217.5265
244,331,965,"4/11/2021 9:17",47467,22287,212.9807
4557,323,121,"8/3/2020 12:55",44793,21122,212.0680
1281,206,817,"6/10/2020 23:38",45589,21500,212.0419
2663,733,2186,"3/20/2022 3:18",17731,8516,208.2081
2292,9,2061,"11/9/2020 19:15",46751,22641,206.4882
3466,817,1036,"9/1/2023 1:47",26590,12907,206.0122
1253,922,872,"7/20/2021 0:35",16931,8284,204.3819
3916,924,502,"4/17/2024 4:17",26366,13149,200.5171
4032,161,2652,"6/9/2022 22:59",35456,18313,193.6111
4633,47,584,"12/18/2021 21:00",35631,18466,192.9546
2032,576,1600,"6/18/2021 13:30",34087,17670,192.9089
1017,556,872,"8/8/2021 14:10",15874,8284,191.6224
4471,486,1487,"8/21/2023 20:12",33071,17265,191.5494
2057,39,2329,"9/18/2020 8:54",22779,12164,187.2657
1682,630,2849,"3/26/2024 22:01",44453,23846,186.4170
3709,965,128,"4/21/2022 20:04",44804,24525,182.6871
664,214,2582,"5/18/2022 17:05",23606,13054,180.8335
3141,963,890,"12/19/2019 0:46",45293,25743,175.9430
4869,941,1448,"7/15/2022 17:13",46878,26793,174.9636
2914,731,478,"7/26/2024 18:19",34692,19964,173.7728
4813,276,1557,"7/8/2021 20:00",13626,7846,173.6681
3846,168,110,"9/20/2021 21:04",20108,11761,170.9719
1217,883,817,"11/13/2022 20:39",36709,21500,170.7395
4640,981,243,"1/22/2021 10:40",49891,29265,170.4801
1003,154,243,"12/2/2020 8:47",49788,29265,170.1281
2376,143,584,"3/1/2021 7:52",31007,18466,167.9140
3387,493,1557,"5/11/2023 5:16",13144,7846,167.5249
3996,144,2264,"11/26/2020 2:50",13246,8045,164.6489
2977,255,2932,"7/6/2024 15:30",38620,23696,162.9811
4112,291,2337,"6/2/2020 8:38",31131,19167,162.4198
1298,555,502,"10/16/2021 18:51",21312,13149,162.0808
3328,445,1760,"6/4/2023 4:46",27107,16990,159.5468
152,892,2056,"11/25/2021 4:45",39912,25401,157.1277
3287,450,2932,"4/8/2020 8:12",37057,23696,156.3850
1111,681,73,"7/20/2020 16:53",48061,30924,155.4165
3248,261,2817,"4/14/2021 6:00",30114,19419,155.0749
1800,344,2584,"7/21/2023 23:30",17761,11518,154.2021
2387,414,2995,"7/25/2021 5:40",22411,14559,153.9323
1552,406,1399,"2/17/2020 14:38",47945,31181,153.7635
3142,707,1341,"7/3/2024 9:35",13096,8554,153.0980
4190,254,2596,"2/26/2020 10:58",42901,28165,152.3203
2760,97,584,"9/4/2023 14:22",27636,18466,149.6588
4456,551,911,"11/17/2022 13:16",24130,16226,148.7119
4645,772,535,"1/31/2023 20:48",14185,9641,147.1320
1366,531,277,"6/20/2023 0:15",46065,31462,146.4147
2087,286,243,"4/24/2023 12:48",42288,29265,144.5003
3727,995,1429,"10/17/2023 2:09",21609,14977,144.2812
3242,355,2447,"1/30/2023 23:09",45440,31782,142.9740
4474,898,2061,"4/2/2024 8:13",32180,22641,142.1315
936,144,2337,"2/10/2023 16:35",26934,19167,140.5228
3085,699,1695,"3/11/2022 11:23",49228,35103,140.2387
1744,249,2292,"7/12/2023 15:42",44003,31555,139.4486
505,186,1040,"10/25/2020 1:42",30764,22070,139.3928
1306,986,1996,"10/26/2022 16:48",34413,24856,138.4495
4204,689,2693,"1/11/2023 17:59",21596,15622,138.2409
4210,52,2093,"5/5/2024 11:05",46446,33650,138.0267
2555,167,2436,"9/21/2021 14:17",49666,36086,137.6323
114,142,705,"4/18/2023 19:53",49319,36045,136.8262
3057,251,1994,"8/5/2022 4:34",21075,15459,136.3284
3534,630,2010,"3/31/2024 7:37",49555,36547,135.5925
1085,273,379,"12/22/2019 1:19",8237,6085,135.3657
1416,676,1429,"10/15/2021 7:11",20106,14977,134.2458
318,844,2988,"1/3/2020 0:03",49823,37417,133.1561
475,285,1949,"9/27/2024 5:33",38831,29310,132.4838
1141,935,1448,"1/13/2020 14:55",35468,26793,132.3779
1892,170,2932,"11/9/2021 13:43",30831,23696,130.1106
3254,229,2626,"5/3/2023 10:25",15751,12470,126.3111
898,793,2328,"9/29/2020 11:03",38257,30379,125.9324
696,398,1503,"7/30/2022 9:12",45977,36521,125.8920
52,352,1649,"5/11/2021 9:56",46233,36824,125.5513
2322,194,271,"7/1/2021 5:07",48166,38572,124.8730
4806,447,1254,"6/24/2023 1:26",11422,9169,124.5719
1837,803,2012,"2/28/2024 10:13",31049,25207,123.1761
1071,797,2669,"3/14/2023 5:16",29942,24366,122.8843
4562,104,1036,"1/20/2022 21:12",15835,12907,122.6854
535,19,785,"6/18/2024 1:11",34378,28065,122.4942
2072,452,1399,"5/3/2021 14:32",38151,31181,122.3534
3415,901,2086,"9/1/2021 7:33",20990,17200,122.0349
4397,359,84,"11/9/2023 18:16",17284,14168,121.9932
4182,170,282,"1/22/2024 21:00",48500,39829,121.7706
1740,676,1802,"5/12/2020 3:26",46297,39275,117.8791
1189,921,1211,"11/21/2022 16:42",19383,16617,116.6456
2125,65,47,"4/3/2021 9:32",15564,13462,115.6143
1656,524,2395,"12/26/2022 13:36",38398,33231,115.5487
1563,829,2841,"2/25/2022 14:02",45834,39850,115.0163
4534,922,2764,"2/18/2020 17:17",45587,39646,114.9851
2999,778,298,"9/15/2023 16:53",11014,9597,114.7650
231,560,389,"7/5/2023 14:19",14418,12622,114.2291
4290,494,606,"9/17/2024 23:54",14229,12463,114.1699
1280,660,2759,"5/9/2020 11:03",48054,42217,113.8262
3040,769,1987,"2/26/2023 13:59",49524,43576,113.6497
3816,73,1694,"8/31/2020 23:53",48890,43322,112.8526
3126,64,2436,"2/11/2022 0:56",40717,36086,112.8332
1403,315,817,"5/21/2021 3:40",24160,21500,112.3721
2869,955,1437,"5/26/2022 17:44",33116,29491,112.2919
668,449,1284,"7/9/2021 4:34",44357,39557,112.1344
4412,345,110,"4/17/2023 20:19",13077,11761,111.1895
4856,778,460,"3/25/2021 18:08",44175,40480,109.1280
1564,333,977,"6/5/2020 13:55",44221,40694,108.6671
4638,586,2561,"8/11/2022 7:31",47117,43599,108.0690
2466,915,2499,"8/4/2020 15:52",20270,18806,107.7847
2414,374,913,"7/4/2020 23:06",42993,40186,106.9850
4771,733,1195,"6/4/2023 17:13",47847,44766,106.8825
758,545,2553,"8/13/2023 19:43",36038,33789,106.6560
3667,92,965,"7/28/2023 16:27",23735,22287,106.4971
1083,70,1399,"11/22/2024 4:39",33188,31181,106.4366
4215,937,21,"4/2/2020 17:18",29683,27941,106.2346
717,561,1488,"9/22/2023 4:15",48305,45512,106.1368
2850,480,2056,"2/12/2023 8:22",26556,25401,104.5471
1905,901,159,"2/10/2023 7:10",40782,39099,104.3045
739,675,681,"5/17/2021 9:20",49030,47249,103.7694
2035,450,2832,"8/6/2020 23:47",17588,17150,102.5539
4975,21,734,"11/12/2022 10:01",39282,39187,100.2424
3871,197,591,"10/25/2023 2:29",10700,10677,100.2154
2923,48,2252,"11/2/2023 8:58",29012,29277,99.0949
202,725,322,"5/5/2024 16:34",43405,44064,98.5044
2696,444,2839,"10/10/2024 5:46",47619,48488,98.2078
2102,304,2061,"8/22/2022 21:21",22159,22641,97.8711
1566,642,1022,"1/5/2024 19:14",7041,7232,97.3590
2926,397,913,"5/18/2024 19:09",39113,40186,97.3299
2412,320,2970,"8/12/2022 8:48",6322,6627,95.3976
3712,626,2621,"6/15/2021 3:23",34321,36066,95.1616
212,656,2302,"1/9/2020 13:40",49532,52149,94.9817
2707,645,2888,"5/31/2023 4:55",46437,48938,94.8895
4356,66,2789,"10/2/2022 5:35",31351,33109,94.6903
20,706,2112,"6/18/2023 17:17",16064,17029,94.3332
1127,871,2061,"1/16/2024 7:16",21327,22641,94.1964
435,28,1194,"9/20/2021 6:11",46134,49018,94.1164
2611,489,2742,"3/5/2021 9:11",48543,51722,93.8537
4417,833,1649,"3/27/2021 9:24",34387,36824,93.3820
3533,519,2988,"7/14/2024 2:13",34587,37417,92.4366
3267,792,21,"10/13/2021 14:05",25592,27941,91.5930
905,322,227,"2/23/2024 4:34",49282,53881,91.4645
174,91,47,"8/10/2022 15:51",12300,13462,91.3683
2194,693,2442,"11/10/2024 11:06",38263,41911,91.2958
778,825,827,"1/9/2021 9:20",37555,41256,91.0292
805,982,1694,"5/5/2023 22:37",39324,43322,90.7714
4650,20,591,"3/30/2023 8:27",9674,10677,90.6060
4539,298,1054,"3/18/2024 12:29",39460,43552,90.6043
4657,338,1256,"9/6/2020 13:37",30170,33368,90.4160
4172,741,1583,"12/16/2019 18:49",45835,50967,89.9307
373,940,183,"8/25/2022 5:39",37804,42176,89.6339
3688,444,322,"11/17/2022 5:47",39451,44064,89.5311
1807,534,1996,"2/1/2022 2:57",22221,24856,89.3989
4451,345,1288,"6/30/2020 12:00",47711,53688,88.8672
1371,92,1053,"10/13/2023 23:34",48734,54907,88.7574
3623,96,2855,"5/6/2024 9:58",37689,42663,88.3412
4137,962,2126,"2/6/2021 13:48",34601,39192,88.2859
1549,18,1695,"9/4/2021 11:00",30839,35103,87.8529
2921,432,2348,"6/27/2022 4:48",27043,31165,86.7736
3668,535,977,"10/31/2021 21:54",35196,40694,86.4894
4484,469,1877,"7/15/2022 3:37",37653,43629,86.3027
2680,825,49,"12/5/2020 8:28",47074,54637,86.1577
921,137,2990,"8/3/2023 6:25",46217,53922,85.7108
3118,617,1827,"1/12/2024 9:59",29955,34990,85.6102
4138,74,525,"4/4/2023 10:01",40947,47838,85.5951
4319,823,1837,"12/1/2019 3:20",37076,43330,85.5666
4789,379,1053,"6/17/2023 6:49",46974,54907,85.5519
4585,696,505,"10/17/2020 18:05",45510,53229,85.4985
515,479,1689,"5/6/2021 2:28",46859,54919,85.3238
3569,2,2677,"2/2/2023 17:18",49680,58263,85.2685
2464,257,1982,"2/7/2020 8:34",46922,55046,85.2414
3163,328,1557,"10/9/2024 20:31",6667,7846,84.9732
4308,146,891,"7/18/2023 12:10",47590,56039,84.9230
1490,327,945,"2/3/2022 16:28",6650,7859,84.6164
1449,888,663,"1/17/2022 22:04",39336,46602,84.4084
3281,603,1450,"9/6/2022 14:04",34927,41400,84.3647
2763,626,2067,"5/25/2024 3:53",46629,55334,84.2683
1044,829,2990,"3/27/2021 4:14",45386,53922,84.1697
3439,116,362,"5/21/2024 17:21",24325,28969,83.9691
3541,900,2236,"2/25/2020 12:11",31340,37401,83.7946
4110,459,673,"7/10/2022 8:52",33723,40341,83.5949
2851,89,2539,"10/24/2024 4:28",32837,39295,83.5653
3016,930,311,"12/16/2021 22:34",39876,47794,83.4331
4678,793,322,"5/5/2024 14:06",36610,44064,83.0837
4421,474,2780,"8/24/2022 11:15",38745,46658,83.0404
4347,192,1195,"8/26/2020 18:57",37053,44766,82.7704
4636,232,2669,"3/5/2021 13:18",20080,24366,82.4099
682,98,2932,"3/26/2024 1:30",19449,23696,82.0771
3885,229,406,"3/28/2022 23:39",42566,52015,81.8341
1325,932,1215,"10/27/2020 0:58",38492,47105,81.7153
289,368,2473,"8/1/2020 4:15",45633,55853,81.7020
531,837,1259,"8/17/2020 15:29",15650,19186,81.5699
2673,243,591,"1/26/2022 3:16",8670,10677,81.2026
1718,932,596,"5/3/2020 11:16",35666,43971,81.1126
2543,336,891,"1/13/2024 7:52",45216,56039,80.6867
4025,833,347,"2/18/2020 21:43",24569,30606,80.2751
3516,508,1677,"5/30/2023 7:21",45523,56719,80.2606
4106,182,2111,"2/24/2023 10:47",45454,56646,80.2422
2652,602,2599,"7/30/2020 7:15",40051,50085,79.9661
652,386,398,"7/12/2021 10:35",42654,53429,79.8330
1704,930,357,"6/3/2021 4:40",35228,44161,79.7717
518,527,1580,"3/4/2020 9:21",48831,61403,79.5254
1731,287,302,"5/28/2023 19:07",42599,53573,79.5158
3854,310,676,"3/25/2023 4:36",21337,26865,79.4230
265,869,2168,"11/21/2024 22:25",18931,23900,79.2092
2525,934,1220,"2/23/2024 1:35",43865,55707,78.7423
4124,177,1677,"9/21/2024 13:11",44455,56719,78.3776
580,651,2841,"5/27/2022 3:59",31228,39850,78.3639
4740,782,1179,"11/10/2020 15:57",22574,29014,77.8038
3542,816,49,"6/26/2020 20:13",42253,54637,77.3340
3840,139,1953,"3/31/2021 9:28",29948,38832,77.1220
4896,836,1837,"2/9/2020 16:50",33407,43330,77.0990
3430,802,2469,"11/23/2023 2:25",36055,46770,77.0900
4438,376,1442,"10/25/2021 23:07",37359,48667,76.7645
4245,613,2479,"9/26/2021 5:20",36477,47746,76.3980
529,932,2677,"9/7/2022 23:00",44388,58263,76.1856
3914,877,48,"9/2/2021 12:54",44868,59018,76.0243
3651,511,1066,"9/20/2024 1:25",31790,41834,75.9908
1604,497,407,"6/16/2023 18:16",12837,16936,75.7971
648,483,2764,"12/28/2022 5:47",29992,39646,75.6495
3389,602,1453,"10/27/2024 16:46",34127,45290,75.3522
4028,729,1649,"5/15/2023 4:03",27744,36824,75.3422
2551,708,1053,"4/6/2023 14:33",41096,54907,74.8466
4280,363,2431,"1/14/2023 9:13",44150,59510,74.1892
3460,788,711,"3/20/2020 13:50",48500,65480,74.0684
1680,843,2411,"12/23/2021 15:47",36756,49716,73.9319
1732,971,2218,"11/22/2023 10:38",37085,50668,73.1922
3859,563,645,"4/28/2022 20:32",44452,60841,73.0626
4074,198,2126,"4/5/2023 1:22",28597,39192,72.9664
2922,617,750,"9/12/2021 13:46",29026,39810,72.9113
1297,598,559,"1/11/2024 12:25",46291,63500,72.8992
939,947,228,"10/21/2022 0:40",41207,56652,72.7371
1225,47,1580,"7/19/2022 10:28",44414,61403,72.3320
1266,628,1284,"6/3/2020 2:50",28592,39557,72.2805
1259,325,2769,"12/27/2023 16:56",6483,9123,71.0622
723,657,2480,"9/13/2024 5:02",25920,36529,70.9573
2920,404,1786,"5/27/2024 14:57",14255,20100,70.9204
4956,315,987,"3/10/2021 2:12",49970,70552,70.8272
389,468,1356,"6/29/2023 20:16",48536,68568,70.7852
400,419,1861,"8/28/2024 21:23",29225,41613,70.2305
141,158,311,"12/29/2019 8:29",33488,47794,70.0674
3105,670,1802,"12/20/2019 0:50",27461,39275,69.9198
1861,762,1649,"9/20/2020 22:55",25710,36824,69.8186
3787,793,1665,"7/11/2024 21:43",27834,39947,69.6773
2222,100,663,"5/13/2022 10:52",32467,46602,69.6687
334,901,639,"1/29/2020 18:24",45183,64882,69.6387
2219,516,912,"8/27/2024 23:42",40690,58805,69.1948
3977,127,1381,"6/23/2020 7:30",44923,64980,69.1336
4078,593,2300,"4/20/2024 12:41",29385,42533,69.0875
897,543,899,"7/21/2020 8:11",28750,41905,68.6076
142,264,349,"4/17/2022 18:45",15787,23028,68.5557
4756,797,2252,"10/29/2020 14:44",20051,29277,68.4872
3611,795,2841,"10/7/2023 16:13",27211,39850,68.2836
2381,844,1422,"10/10/2024 15:17",46429,68119,68.1587
4612,851,330,"11/13/2024 14:59",34269,51005,67.1875
3004,136,1257,"8/25/2021 12:13",34903,52064,67.0386
1255,566,2636,"6/13/2021 2:48",20297,30422,66.7182
4910,968,663,"3/3/2021 5:14",31023,46602,66.5701
901,622,2626,"7/1/2020 14:43",8299,12470,66.5517
1087,441,2511,"8/1/2022 8:01",46287,69693,66.4156
4907,424,1183,"6/23/2023 14:29",49800,75115,66.2983
581,152,378,"3/21/2020 8:12",39846,60428,65.9396
58,394,1789,"11/26/2023 9:57",48896,74189,65.9073
