transaction_year,transaction_month,total_transactions,total_transaction_amount,average_transaction_amount
2019,11,3,61133,20377.6667
2019,12,84,2130715,25365.6548
2020,1,91,2235589,24566.9121
2020,2,82,2188899,26693.8902
2020,3,98,2283677,23302.8265
2020,4,87,2249080,25851.4943
2020,5,71,1833222,25820.0282
2020,6,71,1719433,24217.3662
2020,7,88,2266237,25752.6932
2020,8,74,2041553,27588.5541
2020,9,82,1869413,22797.7195
2020,10,95,2412388,25393.5579
2020,11,69,1728606,25052.2609
2020,12,82,2074331,25296.7195
2021,1,78,2195732,28150.4103
2021,2,66,1739947,26362.8333
2021,3,81,1974555,24377.2222
2021,4,81,2240565,27661.2963
2021,5,84,1993046,23726.7381
2021,6,87,2386489,27430.9080
2021,7,94,2514318,26748.0638
2021,8,89,2163212,24305.7528
2021,9,91,2265374,24894.2198
2021,10,90,2207035,24522.6111
2021,11,83,2165040,26084.8193
2021,12,71,1793018,25253.7746
2022,1,88,2244136,25501.5455
2022,2,91,2488434,27345.4286
2022,3,73,1838406,25183.6438
2022,4,102,2599324,25483.5686
2022,5,91,2095139,23023.5055
2022,6,79,1660308,21016.5570
2022,7,92,2330369,25330.0978
2022,8,84,2028416,24147.8095
2022,9,76,1948370,25636.4474
2022,10,70,1913951,27342.1571
2022,11,84,2235114,26608.5000
2022,12,77,1955419,25395.0519
2023,1,92,2231120,24251.3043
2023,2,82,2061857,25144.5976
2023,3,81,1882434,23239.9259
2023,4,91,2417462,26565.5165
2023,5,94,2434118,25894.8723
2023,6,84,2286989,27226.0595
2023,7,86,2224008,25860.5581
2023,8,77,1822287,23666.0649
2023,9,78,2047654,26251.9744
2023,10,83,1996191,24050.4940
2023,11,89,2330088,26180.7640
2023,12,81,1882658,23242.6914
2024,1,82,2048270,24978.9024
2024,2,67,1710139,25524.4627
2024,3,84,2245344,26730.2857
2024,4,75,1977004,26360.0533
2024,5,74,2177930,29431.4865
2024,6,86,2244298,26096.4884
2024,7,91,2107262,23156.7253
2024,8,84,2105022,25059.7857
2024,9,98,2197171,22420.1122
2024,10,80,2056322,25704.0250
2024,11,82,2096065,25561.7683
